id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
436,keep track of,,to have information about what is happening or where somebody/something is,theo dõi chặt chẽ một thứ gì đó hoặc ai đó,,Bank statements help you keep track of where your money is going.
437,make a name for yourself,,to become famous or respected by a lot of people,"trở nên nổi tiếng, được nhiều người biết đến và kính nể",,He's made a name for himself as a talented journalist.
438,a win-win situation,,something that is good for everyone who is involved,tình huống cả hai bên cùng có lợi,,Flexible working hours are a win-win situation for employers and employees.
439,amalgamate,/əˈmælɡəmeɪt/,"if two organizations am_________te, they join together to form one large organization","Trộn, pha trộn, trộn lẫn, hỗn hợp, hợp nhất (công ty... ).",,A number of colleges have amalgamated to form the new university. The company has now amalgamated with another local firm. They decided to amalgamate the two schools.
440,capital punishment,/ˌkæp.ɪ.t̬əl ˈpʌn.ɪʃ.mənt/,"punishment by death, as ordered by a legal system",án tử hình,,Public opinion was in favour of bringing back capital punishment.
441,community service,/kəˌmjuː.nə.t̬i ˈsɝː.vɪs/,"work helping people in the local community that somebody does without being paid, either because they want to, or because they have been ordered to by a court as a punishment",lao động công ích (như một dạng hình phạt,,"It needs some ceremony that shall fix the lessons of patriotism, of social responsibility and of community service, and stir to noble purpose. It will mean to the well-to-do wife freedom to do community service. What forms of community service can be done by children and by young people?"
442,life sentence,/ˌlaɪf ˈsen.təns/,the punishment by which somebody spends the rest of their life in prison,Án tù chung thân.,,He’s currently serving a life sentence for murder.
443,mugging,&nbsp;/ˈmʌɡɪŋ/,"the crime of attacking somebody violently, or threatening to do so, in order to steal their money, especially in a public place",tội trấn lột,,"Mugging is on the increase. There have been several muggings here recently. Murders, kidnaps and muggings are reported daily in the newspapers."
444,organized crime,/ˌɔːr.ɡən.aɪzd ˈkraɪm/,"criminal organizations that plan and commit crime, or the crimes that are committed by such organizations","phạm tội có tổ chức, có đường dây",,The murders may have been linked to organized crime.
445,peer pressure,/ˈpɪr ˌpreʃ.ɚ/,"the strong influence of a group, especially of children, on members of that group to behave as everyone else does",Áp lực từ bạn bè cùng trang lứa,,There is tremendous peer pressure to wear fashionable clothes.
446,petty crime,/ˌpet̬.i ˈkraɪm/,a type of crime that is not considered serious when compared with some other crimes,"những tội vặt vãnh (như trộm đồ siêu thị, móc túi",,petty crime such as shoplifting
447,robbery,/ˈrɑːbəri/,"the crime of stealing money or goods from a bank, shop/store, person, etc., especially using violence or threats","Sự ăn cướp, vụ ăn cướp (đặc biệt là bằng vũ lực",,"armed robbery (= using a gun, knife, etc.) There has been a spate of robberies in the area recently. He was shot as he tried to foil a bank robbery. He already had a conviction for armed robbery."
448,vandalism,/ˈvændəlɪzəm/,the crime of intentionally damaging property belonging to other people,Tội phá hoại của công (hoặc tài sản của người khác,,"Beset by violence and vandalism, this is one of the most unpleasant areas in the city. These schools are known to be vulnerable to vandalism."
449,violence,/ˈvaɪələns/,actions or words that are intended to hurt people,"sự hành hung, bạo lực",,crimes/acts/threats of violence He condemned the protesters' use of violence against the police. domestic violence (= between family members) Why do they always have to resort to violence?
450,hostile,/ˈhɑːstl/,very unfriendly or aggressive and ready to argue or fight,"thái độ thù địch, không thân thiện",,The speaker got a hostile reception from the audience. hostile to/towards somebody/something She was openly hostile towards her parents.
451,lenient,/ˈliːniənt/,not as strict as expected when punishing somebody or when making sure that rules are obeyed,"Nhân hậu, hiền hậu, khoan dung.",,a lenient sentence/fine The judge was far too lenient with him. The police are sometimes more lenient with female offenders.
452,accept the consequences of,,,"chấp nhận, đối mặt với hậu quả của một hành động gì đó",,
453,accuse,/əˈkjuːz/,ac____e somebody (of something) to say that somebody has done something wrong or is guilty of something,"Cáo buộc, buộc tội, kết tội; tố cáo.",,"""It wasn't my fault."" ""Don't worry, I'm not accusing you."" He's been accused of robbery/murder. Are you accusing me of lying? The surgeon was accused of negligence."
454,arrest,/əˈrest/,ar___t somebody for something: take somebody away to ask them about a crime that they might have committed,bị cảnh sát bắt giữ vì phạm tội gì đó,,He was arrested when customs officers found drugs in his bag. The police arrested her for drinking and driving. She was arrested for drug-related offences.
455,be held responsible for,,to be blamed for someone or something,bị bắt chịu trách nhiệm cho việc gì đó,,He held me personally responsible whenever anything went wrong in the project.
456,victim,/ˈvɪktɪm/,"to be vi___m of: to be injured, damaged or killed by something",là nạn nhân (của cái gì đó,,victims of crime The children are the innocent/helpless victims of the fighting. We appear to have been the victims of a cruel practical joke. Our local hospital has become the latest victim of the cuts in government spending.
457,convicted criminal,/kənˈvɪktɪd&nbsp;ˈkrɪmɪnl/,a person found guilty of a crime and sentenced by a court,tội phạm đã bị tuyên án,,"A convicted criminal is on the run after ramming a police car in Craigmore, north of Adelaide, this afternoon."
458,criminal activity,/ˈkrɪmɪnl&nbsp;ækˈtɪvəti/,,hành vi phạm tội,,
459,criminal offence,/ˈkrɪmɪnl əˈfens/,#ERROR!,,,"A civil offence is an offence that arises due to a dispute between individuals, usually of a business nature, while a criminal offence occurs when a crime is committed against the state. Criminal offences are prosecuted by the state, whereas civil disputes are fought between the affected partie"
460,criminal record,/ˌkrɪm.ɪ.nəl ˈrek.ɚd/,an official record of crimes that a person has committed hồ sơ phạm tội tức là họ có tiền án tiền sự,Nghĩa đen: hồ sơ phạm tội. Nếu ai đó có&nbsp;,,They fired him when they found out he had a criminal record.
461,hardened criminal,,someone who has committed many crimes many times,"người đã phạm tội nhiều lần, tái phạm nhiều lần",,
462,juvenile crime,,criminal activity by people under 18 years old,hành vi phạm tội của người vị thành niên (&lt;18,,
463,underlying causes,,,"những nguyên nhân ẩn, không dễ thấy",,Unemployment may be an underlying cause of the rising crime rate. Nạn thất nghiệp có thể là một nguyên nhân ẩn dẫn đến việc tỷ lệ tội phạm gia tăng.
464,jail,/dʒeɪl/,j___l somebody (for something) to put somebody in prison,"thường bị động) Tống giam, bắt giam.",,"He was jailed for life for murder. He was jailed for four months for drink-driving. Protestors were executed, jailed or otherwise persecuted. He was jailed for 15 years for stabbing his wife to death."
465,punish,/ˈpʌnɪʃ/,to make somebody suffer because they have broken the law or done something wrong,"Phạt, trừng phạt, trừng trị.",,Those responsible for this crime will be severely punished. My parents used to punish me by not letting me watch TV. punish somebody for something/for doing something He was punished for refusing to answer their questions.
466,bias,/ˈbaɪəs/,"a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement","Khuynh hướng, sự thiên về; thành kiến, thiên vị.",,Reporters must be impartial and not show political bias. There was clear evidence of a strong bias against her. Employers must consider all candidates impartially and without bias. Some institutions still have a strong bias against women.
467,broadcaster,/ˈbrɔːdkæstər/,a person whose job is presenting or talking on television or radio programmes,Người nói chuyện trên đài phát thanh hoặc đài truyền hình,,She is a writer and broadcaster on environmental matters. He was a famous broadcaster in the 1930s.
468,episode,/ˈepɪsoʊd/,one part of a story that is broadcast on television or radio in several parts,tập phim,,The soap opera is ending after 175 episodes. Next up on Channel 4 is the first episode of a new medical drama set in Chicago. It's the penultimate episode of the series tonight.
469,make the headlines,&nbsp;/ˈhedlaɪn/,to be an important item of news in newspapers or on the radio or television,"lên trang nhất (của báo chí), trở thành tin tức được nhiều người quan tâm nhất",,The latest scandal to make the headlines is about a minister's son arrested for drug-dealing.
470,paparazzi,/ˌpɑː.pɑːˈrɑːt.si/,the photographers who follow famous people everywhere they go in order to take photographs of them for newspapers and magazines,"thợ săn ảnh cho báo chí, hay bám theo người nổi tiếng để săn ảnh",,
471,press,/pres/,newspapers and magazines,Báo chí nói chung,,the local/national/foreign press The story was reported in the press and on television. the music/sporting press (= newspapers and magazines about music/sport)
472,viewer,&nbsp;/ˈvjuːər/,a person watching television,Người xem truyền hình.,,The programme attracted millions of viewers.
473,biased,/ˈbaɪəst/,showing an unreasonable like or dislike for a person based on personal opinions,"có khuynh hướng thiên vị/thành kiến với một trong các bên, không công bằng",,biased information/sources/press reports a biased jury/witness The newspapers gave a very biased report of the meeting. I think she's beautiful but then I'm biased since she's my daughter.
474,eminent,/ˈemɪnənt/,"(of people) famous and respected, especially in a particular profession","Nổi tiếng, xuất sắc.",,an eminent architect an eminent historian
475,high-profile,/ˌhaɪˈproʊ.faɪl/,"attracting a lot of attention and interest from the public and newspapers, television, etc.:","nổi tiếng, thu hút được nhiều sự chú ý của công chúng",,high-profile politicians Some very high-profile British players have transferred to clubs abroad. The club has signed several high-profile players over the summer.
476,prejudiced,/ˈpredʒədɪst/,"having an unreasonable dislike of or preference for somebody/something, especially based on their race, religion, sex, etc.","Có thành kiến, biểu lộ thành kiến với thứ gì đó",,"The campaign is designed to make people less prejudiced about AIDS. The media has been accused of presenting a prejudiced view of people with disabilities. prejudiced (against/in favour of somebody/something) They are prejudiced against older applicants. (humorous) I think it's an excellent article, but then I'm prejudiced—I wrote it."
477,prominent,&nbsp;/ˈprɑːmɪnənt/,"very well known and important Xuất chúng, lỗi lạc, nổi tiếng (người).","Đáng chú ý, nổi bật.",,a prominent politician He played a prominent part in the campaign. She was prominent in the fashion industry.
478,subjective,/səbˈdʒektɪv/,based on your own ideas or opinions rather than facts and therefore sometimes unfair,chủ quan (ngược với 'objective' là khách quan,,"I think my husband is the most handsome man in the world, but I realize my judgment is rather subjective. More specific and less subjective criteria should be used in selecting people for promotion within the company."
479,world-famous,/ˌwɜːrld ˈfeɪməs/,known all over the world,Nổi tiếng khắp thế giới.,,a world-famous scientist His books are world-famous.
480,become famous overnight,,trở nên nổi tiếng chỉ sau một đêm,trở nên nổi tiếng nhanh chóng,,
481,chief claim to fame,,someone's main reason for being well-known or famous.,nguyên nhân (chính) khiến ai đó trở nên nổi tiếng,,Her chief claim to fame is that she can recite the entire works of Shakespeare. This little town's chief claim to fame is that the president was born here.
482,be in the public eye,,to be famous and written about in newspapers and magazines and seen on television,trở nên nổi tiếng và trở thành chủ đề bàn tán của công chúng,,
483,instant celebrities,,someone who becomes a celebrity in a very short period of time.,"chỉ người trở nên nổi tiếng trong một khoảng thời gian ngắn, nhưng rồi sau này không còn ai nhớ đến nữa",,
484,media attention,,(hay đi với từ 'attract' trong cụm 'attract media attention'),sự quan tâm của giới truyền thông&nbsp;,,
485,new-found fame,,recently discovered or achieved fame,sự nổi tiếng vừa mới đạt được,,"How is she handling her new-found fame? McClellan had trouble dealing with her new-found fame 15-year-old French fashion star Thylane Blondeau earns new-found fame on Instagram, earning 600,000 followers with her stunning images"
486,tabloid,/ˈtæblɔɪd/,"(sometimes disapproving) a newspaper of this size with short articles and a lot of pictures and stories about famous people, often thought of as less serious than other newspapers","báo lá cải, chuyên đưa tin về người nổi tiếng",,The story made the front page in all the tabloids. I despair when I read what passes for news in some of the tabloids. You shouldn’t believe everything you read in the tabloids.
487,assert,/əˈsɜːrt/,to state clearly and firmly that something is true,"Xác nhận, khẳng định, quả quyết, quyết đoán.",,"assert that… She continued to assert that she was innocent. assert something She continued to assert her innocence. + speech ‘That is wrong,’ he asserted."
488,broadcast,/ˈbrɔːdkæst/,to send out programmes on television or radio,"phát sóng, phát thanh",,The concert will be broadcast live (= at the same time as it takes place) tomorrow evening. Most of the programmes are broadcast in English. They began broadcasting in 1922.
489,contend,/kənˈtend/,"to say that something is true, especially in an argument","Dám chắc rằng, cho rằng.",,I contend that it is impossible — tôi dám chắc rằng cái đó không thể thực hiện được I would contend that the minister's thinking is flawed on this point. The lawyer contended (that) her client had never been near the scene of the crime.
490,gossip,/ˈɡɑːsɪp/,"informal talk or stories about other people’s private lives, that may be unkind or not true","Chuyện ngồi lê đôi mách, chuyện tầm phào, tin đồn nhảm.",,Don't believe all the gossip you hear. Tell me all the latest gossip! The gossip was that he had lost a fortune on the stock exchange. It was common gossip (= everyone said so) that they were having an affair
491,indicate,/ˈɪndɪkeɪt/,to show that something is true or exists,"chỉ ra, tỏ ra, ra ý, ngụ ý, biểu lộ, biểu thị.",,"Research indicates that eating habits are changing fast. Kingston-upon-Thames, as the name indicates, is situated on the banks of the Thames."
492,speculate,/ˈspekjuleɪt/,to form an opinion about something without knowing all the details or facts,"Suy đoán, đưa ra ý kiến này ý kiến nọ về, ước đoán.",,"We all speculated about the reasons for her resignation. They were all speculating as to the identity of the stranger. speculate why, how, etc… It is useless to speculate why he did it."
493,animation,/ˌænɪˈmeɪʃn/,"energy and enthusiasm in the way you look, behave or speak Tính hoạt bát, sinh khí.","Lòng hăng hái, nhiệt tình; sự cao hứng, sự hào hứng.",,His face was drained of all colour and animation. She talked about her new job with great animation. She spoke with great animation about her latest discoveries.
494,culture,/ˈkʌltʃər/,"the customs and beliefs, art, way of life and social organization of a particular country or group","văn hóa, nền văn hóa",,The children are taught to respect different cultures. the effect of technology on traditional cultures
495,drama,/ˈdrɑːmə/,plays considered as a form of literature plays and acting generally,Nghệ thuật kịch; nghệ thuật tuồng nói chung,,"classical/Elizabethan/modern, etc. drama a drama critic drama school a drama student I studied English and Drama at college."
496,echo,/ˈekoʊ/,a sound that is heard after it has been reflected off a surface such as a wall or a cliff,"Tiếng dội, tiếng vang.",,The echoes of his scream sounded in the cave for several seconds. Thick carpet would reduce the echo in this hallway.
497,engraving,/ɪnˈɡreɪvɪŋ/,"the art or process of cutting designs on wood, stone, metal, etc. (Nghĩa bóng) Sự in sâu, sự khắc sâu (vào óc... ).","Sự khắc, sự trổ, sự chạm.",,
498,fiction,/ˈfɪkʃn/,"a type of literature that describes imaginary people and events, not real ones","tác phẩm) hư cấu, tưởng tượng.",,a work of popular fiction historical/romantic fiction
499,imagination,/ɪˌmædʒɪˈneɪʃn/,the ability to create pictures in your mind; the part of your mind that does this,"Sức tưởng tượng, trí tưởng tượng; sự tưởng tượng.",,a vivid/fertile imagination He's got no imagination. It doesn't take much imagination to guess what she meant. I won't tell you his reaction—I'll leave that to your imagination.
500,inspiration,/ˌɪnspəˈreɪʃn/,someone or something that gives you ideas for doing something,"Người truyền cảm hứng, vật truyền cảm hứng.",,"The golden autumn light provided the inspiration for the painting. He went to church, perhaps seeking divine inspiration."
501,abominable,/əˈbɑːmɪnəbl/,extremely unpleasant and causing disgust,"Ghê tởm, kinh tởm.","appalling, disgusting",The judge described the attack as an abominable crime. We were served the most abominable coffee. I think you are utterly selfish and your behaviour has been abominable.
502,dismal,"/ˈdɪzməl/[sound:dismal adjective - Definition, pictures, pronunciation and usage notes _ Oxford Advanced Learner_apos;s Dictionary .mp3]",causing or showing sadness,"Buồn thảm, tối tăm, ảm đạm, buồn nản, u sầu, phiền muộn.","gloomy, miserable",dismal conditions/surroundings/weather Christmas will be dismal without the children.
503,fictional,/ˈfɪkʃənl/,not real or true; existing only in stories,"Giả tưởng, hư cấu, tưởng tượng.",,fictional characters a fictional account of life on a desert island fictional techniques the fictional world of Lawrence Durrell The names of the characters are entirely fictional.
504,figurative,/ˈfɪɡjərətɪv/,"(of words and phrases) used not with their basic meaning but with a more imaginative meaning, in order to create a special effect","về ngôn ngữ) cách nói hình tượng, dùng nghĩa bóng (ngược với 'literal' : theo đúng nghĩa đen",,"For example, ‘He exploded with rage’ shows a figurative use of the verb ‘explode’. Of course, she was using the term ""massacre"" in the figurative sense."
505,hilarious,/hɪˈleriəs/,extremely funny,cực kỳ đáng buồn cười,,a hilarious joke/story Lynn found the whole situation hilarious. Do you know Pete? He's hilarious.
506,inspirational,/ˌɪnspəˈreɪʃənl/,making you feel full of hope or encouraged,truyền cảm hứng; gây cảm hứng.,,He gave an inspirational reading of his own poems. an inspirational leader
507,petrified,/ˈpetrɪfaɪd/,extremely frightened,cực kỳ sợ (cái gì đó,terrified,a petrified expression petrified (of something) I'm petrified of snakes. They were petrified with fear (= so frightened that they were unable to move or think). petrified (that…) She was petrified that the police would burst in at any moment.
508,spine-chilling,/ˈspaɪnˌtʃɪl.ɪŋ/,"(of a book, film/movie, etc.) frightening in an exciting way",Làm nổi gai ốc; khủng khiếp (nghĩa đen: làm lạnh sống lưng,,He told them a spine-chilling ghost story.
509,talented,/ˈtæləntɪd/,having a natural ability to do something well,"có tài, tài năng",,Some of these young musicians are hugely talented. a precociously talented youngster an extraordinarily talented designer
510,tedious,/ˈtiːdiəs/,lasting or taking too long and not interesting,"Chán ngắt, tẻ, nhạt nhẽo, thiếu hấp dẫn, làm buồn tẻ.",boring,The journey soon became tedious. We had to listen to the tedious details of his operation.
511,terrified,/ˈterɪfaɪd/,very frightened,"Cảm thấy khiếp sợ, rất kinh hãi.",,terrified (of somebody/something) to be terrified of spiders terrified (of doing something) I'm terrified of losing you. terrified (that…) He was terrified (that) he would fall. terrified (at something) She was terrified at the thought of being alone. You look absolutely terrified!
512,terrifying,/ˈterɪfaɪɪŋ/,making somebody feel extremely frightened,đáng sợ,,It was a terrifying experience.
513,thrilling,&nbsp;/ˈθrɪlɪŋ/,exciting and enjoyable,"Làm rùng mình; cảm động, xúc động, hồi hộp, ly kỳ.",,"a thrilling experience/finish Don’t miss next week’s thrilling episode! Racegoers are in for a thrilling contest today. The game had a thrilling finale, with three goals scored in the last five minutes."
514,it's a matter of taste,,something that different people have different opinions about,tùy thuộc vào sở thích của mỗi người,,"Art is very much a matter of taste. Everyone liked the book but me. It’s a matter of taste, I guess. (Ai cũng thích quyển sách đó nhưng tôi thì không. Tôi đoán chắc cái này còn tùy vào sở thích của mỗi người)"
515,acquire a taste for,,"to begin to like something, especially a particular kind of food, drink, or experience",bắt đầu thích một cái gì đấy,,
516,be in bad taste,,"causing offence by being insensitive or downright rude to someone else, perhaps by not taking account of their cultural sensibilities.","gây xúc phạm bằng cách thiếu để tâm đến ai đó. Ví dụ, mời một người ăn chay nhưng lại mời miếng bánh sandwich thịt lợn thì sẽ là một hành động 'in bad taste'",,"offering a bacon sandwich to someone you know is a strict vegetarian, could be in bad taste. He told a joke about death that I thought was in bad taste considering that Steve's father had just died."
517,compose,/kəmˈpoʊz/,to write music,"soạn nhạc, sáng tác nhạc",,Mozart composed his last opera shortly before he died. music specially composed for the occasion
518,have diverse tastes,,,"có sở thích đa dạng (ví dụ, 'have a diverse music taste' là thích nhiều thể loại nhạc khác nhau",,
519,share the same taste,,,cùng thích một thứ gì đó,,"Why We Like People Who Share Our Taste In Music Unsurprisingly, people expressed that they liked a new person better when finding that they shared the same musical taste"
520,up to speed,,have all the latest information about something,,,We try to keep people entertained and up to speed with what’s going on in town.
521,get the hang of something,,[INFORMAL] learn how to do something well,,,After a few months you will start getting the hang of the language and expressing yourself quite well.
522,take something on board,,understand or accept something,,,"I listened to them, took their comments on board, and then made the decision."
523,bite off more than you can chew,,try to do a task that is too big or too difficult,,,I didn’t know if I could memorize a text of that length and started to worry that I had bitten off more than I could chew.
524,a/the fly in the ointment,,prevent a situation from being as successful or happy as it would be without them,con sâu làm rầu nồi canh,,The only fly in the ointment is Bella’s lack of concentration.
525,not have a leg to stand on,,"in a very weak position, because cannot prove a claim or statement have been made",,,You’d never win if you went to court. Our lawyers said you wouldn’t have a leg to stand on.
526,in over your head,,in a situation that is too difficult to deal with,,,"He realized that he was in over his head, and that only his family could help him."
527,out of / from the frying pan into the fire,,move from a bad situation to an even worse one,tránh vỏ dưa gặp vỏ dừa,,"I was hoping to get my career back on track after a bad time, but as it turned out, I’d gone out of the frying pan into the fire."
528,an own goal,,[BRITISH] a course of action which is intended to bring an advantage and which instead causes a problem,[bóng đá] bàn thắng phản lưới nhà,,It was a classic own goal by the fashion house. They brought their prices down to attract more customers but lost the high-end customers that they already had.
529,a stumbling block,,a problem which stops you from achieving something,,,It’s her attitude that’s the biggest stumbling block.
530,teething problems / troubles,,[BRITISH] problems in the early stages of something,,,"Some teething troubles aside, the new computer system works well."
531,a vicious circle,,"one problem has caused other problems which, in turn, have made the original problem even worse",vòng luẩn quẩn,,The economy couldn’t create jobs because consumers weren’t spending. Consumers weren’t spending because the economy wasn’t creating jobs. And this was the vicious circle we were caught in.
532,keep someone posted,,continue giving someone the latest information about a situation,,,She made me promise to keep her posted on developments here while she was in London.
533,in the loop,,Part of a group that is kept up-to-date with information about something,,,Not many people knew about the strike but the CEO was almost certainly in the loop.
534,at cross purposes,,"two people think they are talking about or trying to do the same thing as each other, but they are actually talking about or trying to do different things",ông nói gà bà nói vịt,,"They had been talking at cross purposes earlier, he realized. They hadn’t been offering him a share of the deal at all."
535,come out of your shell,,become less shy and more confident,,,She used to be very timid and shy but I think she’s come out of her shell.
536,find common ground,,find a particular subject or opinion that two people or groups agree about,,,Both leaders were keen to stress that they were seeking to find common ground.
537,from the horse’s mouth,,get information directly from someone who is involved in it and knows the most about it,,,"When he tells them, straight from the horse’s mouth, what a good assistant you are, they’ll increase your wages."
538,get your wires / lines crossed,,mistaken about what someone else means,,,She looked confused at what he said and he began to wonder if he’d got his wires crossed.
539,go off on/at a tangent,,start saying or thinking something that is not directly connected with what were said or thought before,,,Our teacher would occasionally go off on a tangent and start talking about something totally unrelated to the textbook.
540,hear something through/on the grapevine,,being told a piece of news informally by someone who was told it by someone else,,,She heard on the grapevine that he had come back to London.
541,in black and white,,something have been written proof of it,,,"We have a strict, clear rule in black and white, that this sort of behaviour will not be tolerated."
542,let the cat out of the bag,,"reveal something secret or private, often without meaning to",,,"‘They didn’t tell the cops my name, did they?’ ‘Of course not,’ she said. ‘They wouldn’t want to let the cat out of the bag.’"
543,put someone in the picture,,tell someone about a situation that they need to know about,,,"I believe that I could now produce evidence to prove my case, so let me put you in the picture."
544,spill the beans,,[INFORMAL] reveal the truth about something secret or private,,,He was scared to death I was going to spill the beans to the cops.
545,touch base with someone,,"contact someone, often when you have not spoken to them or seen them for a long time",,,A brief phone-call is often made to touch base and update the parent on any developments.
546,bend over backwards,,"try very hard to help or please someone, even though it causes you trouble",,,We bent over backwards to make them feel welcome and they didn’t thank us once.
547,be there for someone,,[SPOKEN] ready to listen to their problems and to help and support someone,,,Jimmy is a good friend – he’s always been there for me when i needed help or advice.
548,give and take,,the way in which two people or groups in a relationship accept that they cannot have everything that they want and that they must sometimes give the other person or group what they want,có đi có lại,,All good partnerships involve a bit of give and take.
549,hold someone’s hand,,help and support someone in an unfamiliar or difficult situation,,,"Tony will hold your hand through the sale, deal with offers and advise on any problems."
550,in the same boat,,in the same unpleasant or difficult situation,,,Don’t worry if you are going bald – 40 per cent of men under 35 are in the same boat.
551,keep your chin up,,stay cheerful in a difficult or unpleasant situation,,,Richards was keeping his chin up yesterday despite the continued setbacks.
552,lend someone a hand,,help someone to do something,,,"If I’d known you were having trouble, I could have lent a hand."
553,look the other way,,deliberately ignore something bad that is happening when you should be trying to deal with it or stop it,,,The government is fully aware of the problem but they just look the other way.
554,meet someone halfway,,"accept some of someone's opinions or wishes, so that you can come to an agreement with them or have a better relationship with them","thoả hiệp với ai, mỗi bên nhân nhượng một ít",,The opposition is willing to meet the president halfway on his latest plans for the economy.
555,a pat on the back,,praise someone for something they have done,,,Today is a good day to pat yourself on the back for bravery and effort.
556,put your heads together,,try to solve a problem together,,,"If there’s a problem, we all just sit down, put our heads together and figure it out."
557,sing someone’s praises,,praise someone in an enthusiastic way,,,"Smith continued to sing Tony’s praises. ‘He’s so different, he’s so natural’, he said."
558,take someone under your wing,,start to look after someone and make sure that they are well and have what they need,,,"She took the youngster under her wing, gave her advice and helped her prepare for the tour."
559,a tower / pillar of strength,,give someone a lot of help or support during a difficult period in their life,,,In her terrible sadness she has found Charles to be a pillar of strength.
560,go back to the drawing board,,something you have done has not been successful and you have to try another idea,,,His government should go back to the drawing board to rethink their programme.
561,bring the house down,,"If a person or their performance brings the house down, the audience claps and cheers loudly for a long time because they liked the performance so much",,,We had just one rehearsal and I was very nervous but the show brought the house down.
562,come up in the world,,richer or more powerful than they used to be and have a higher social status,,,"A polite and pleasant young man, he was an ordinary worker who had come up in the world."
563,fall flat on your face,,fail or make an embarrassing mistake,,,He was trying to introduce changes in the prison system but he fell flat on his face.
564,be fighting a losing battle,,"trying to achieve something, but very unlikely to succeed",,,The theatre has to compete with the movies and DVDs and it’s fighting a losing battle.
565,go belly-up,,[INFORMAL] fails and does not have enough money to pay its debts,,,Factories and farms went belly-up because of the debt crisis.
566,go pear-shaped,,"[BRITISH, INFORMAL] starts to fail or have problems",,,He is always asked to comment when the global economy goes pear-shaped.
567,hit the nail on the head,,describe a situation or problem very precisely,,,Smith hit the nail on the head when he said that the Prime Minister promised so much and yet changed so little.
568,plain sailing,,[BRITISH] easy to do or achieve,,,Once I got used to the diet it was plain sailing and I lost six kilos over a four-month period.
569,save the day,,manage to make it successful in a situation which seems likely to fail,,,"After a disastrous first night for the show, it was Biggs who stepped in to save the day."
570,touch and go,,cannot be certain whether something will happen or not,,,"I thought I was going to win the race, but it was still touch and go."
571,win hands down,,win a contest easily,,,"When he said he would beat me hands down, I didn’t know he could run that fast!"
572,with flying colours,,achieve something easily and are very successful,,,She passed the entrance exam with flying colours.
573,work like a charm,,very successful or effective,,,Our little arrangement worked like a charm.
574,carry a torch for someone,,you are in love with them but they do not love you,,,What makes a woman so special that a man will carry a torch for her all his life?
575,common-or-garden [BRITISH] or garden-variety [AMERICAN],,"something of a very ordinary kind, with no special features",,,These are designer rain boots ֊ not your common-or-garden Wellington boots.
576,have a soft spot for someone or something,,like someone or something,,,The actress has admitted having a soft spot for our future King.
577,head and shoulders above someone/something,,"If one person or thing is head and shoulders above others of their kind, they are much better than them.",,,"In the world of newspaper publishing there is one success story that stands head and shoulders above the rest. Richards, according to Imran Khan, was head and shoulders above any other player."
578,no great shakes,,[INFORMAL] not skillful or of good quality,,,She can write screenplays well enough but she’s no great shakes as a director.
579,nothing / not much to write home about,,"[INFORMAL] not very interesting, exciting or special",,,The house was nothing to write home about – a rather scruffy Victorian semi-detached like many they’d seen.
580,of your dreams,,the best you can imagine,,,"Maybe, just maybe, the man of your dreams will walk through that door and into your life tonight."
581,an old flame,,someone who you had a romantic relationship with in the past,,,Last week Alec was seen dining with his old flame Janine Turner in New York.
582,not a patch on someone/something,,the first is not nearly as good as the second,,,"He was handsome, she thought, but not a patch on Alex."
583,a saving grace,,a good quality or feature in someone or something that prevents them from being completely bad or worthless,,,It’s an excellent performance and one of the film’s few saving graces.
584,think the world of someone,,like and admire someone very much or are very fond of them,,,He thinks the world of his little grandson.
585,have to be cruel to be kind,,sometimes if you are unkind to someone it will be the best thing for them,,,‘ I have to be cruel to be kind’ said Lindsay. ‘If I don’t control his food he will gain too much weight.’
586,bend the rules,,"do something which is not allowed, either to help someone else or for your own advantage",,,I’m prepared to bend the rules – I may even have to break them.
587,the dos and don’ts,,the things you should and should not do in a situation,,,Disasters can be avoided if a few general dos and don’ts are considered.
588,draw the line,,If someone knows whether to draw the line they know at what point an activity or situation stops being reasonable and starts to be unacceptable.,,,It is difficult for charities to know where to draw the line between acceptable and unacceptable sources of finance.
589,draw the line,,If you draw the line at a particular activity you would not do it because you disapprove of it or because it is so extreme.,,,I’ll do almost anything – although I think I’d draw the line at running naked across the stage!
590,a fine line between something,,"there is a point at which two different activities or situations are very similar, often when one activity or situation is acceptable and the other is not",,,There is a fine line between being nicely looked after and never being left alone.
591,have your hands full,,very busy,,,She’s doing fine. She’s got her hands full with the kids of course.
592,off limits,,not allowed to do/have it or go there,,,"Of course, smoking was off limits everywhere."
593,out of bounds,,not allowed to go there,,,The area has been out of bounds to foreigners for more than a month.
594,over the top,,too extreme,,,Maybe he went a bit over the top with some of his language.
595,overstep the mark,,offend people by doing something that is considered to be rude or unacceptable,,,"They agreed that by criticizing his manager so publicly, Taylor had overstepped the mark."
596,step / tread on someone’s toes,,offend someone by interfering in something that is their responsibility,,,Small shopkeepers know who sells what so they don’t step on one another’s toes.
597,with no strings attached / without strings,,accepting the offer does not require you to do a particular thing or give something in return,,,I think this is an extremely generous offer. There are no strings attached and I will recommend that everyone accepts.
598,your hands are tied,,preventing you from acting in the way that you want to,,,He would like to help but his hands are tied by the regulations.
599,break your back,,work extremely hard to try to do something,,,These days you have to break your back to make a business work.
